COG count
COG4870 3
COG2335 10
COG1349 4
COG3307 7
COG4786 20
COG2073 9
COG0830 17
COG0378 67
COG5059 6
COG0361 34
COG0558 31
COG3200 60
COG1489 64
COG1074 46
COG4947 1
COG1544 27
COG2947 37
COG0689 19
COG1060 22
COG4536 24
COG3572 39
COG4770 169
COG0292 22
COG1830 9
COG0448 83
COG0140 11
COG0091 34
COG0110 12
COG2925 10
COG4643 1
COG0503 43
COG3733 3
COG0095 10
COG1360 22
COG3711 2
COG1363 7
COG1481 1
COG3914 46
COG1624 21
COG3696 7
COG0671 3
COG0600 46
COG2176 5
COG0428 6
COG0726 43
COG2099 14
COG0606 4
COG3496 25
COG0590 49
COG1262 41
COG3321 44
COG3128 30
COG3844 11
COG0383 9
COG2183 3
COG2350 26
COG1788 10
COG1106 1
COG1226 7
COG4175 43
COG1260 11
COG1161 47
COG1570 30
COG1496 22
COG1454 72
COG2385 71
COG4943 1
COG0357 23
COG1932 33
COG0267 11
COG0089 34
COG0204 96
COG1505 23
COG0417 36
COG1903 21
COG1958 6
COG0341 42
COG0501 21
COG5540 6
COG1558 1
COG3180 3
COG1138 54
COG0048 64
COG2518 25
COG0398 18
COG0397 62
COG0715 51
COG1236 36
COG0694 69
COG2730 2
COG4310 6
COG5277 0
COG0184 27
COG2896 39
COG3552 4
COG1116 49
COG2200 9
COG0003 7
COG3127 15
COG1420 13
COG1538 27
COG0788 42
COG0338 11
COG2313 16
COG1596 21
COG3840 6
COG4096 10
COG1972 15
COG0585 3
COG2119 15
COG0391 57
COG0586 23
COG0430 2
COG1126 65
COG1989 8
COG0787 70
COG1524 9
COG0690 13
COG1543 56
COG3825 28
COG3694 33
COG2949 1
COG4760 12
COG0573 54
COG3367 6
COG3383 46
COG4587 24
COG4598 5
COG3876 10
COG3330 17
COG0709 19
COG2120 6
COG2917 11
COG4763 1
COG0394 33
COG3429 7
COG1706 8
COG5012 4
COG3616 11
COG0247 46
COG0730 41
COG0691 53
COG2910 1
COG1619 31
COG4232 15
COG3178 12
COG2885 29
COG0181 96
COG0311 9
COG3340 25
COG1407 5
COG0812 76
COG0753 1
COG1135 5
COG0213 7
COG2267 12
COG1205 5
COG3346 10
COG4240 17
COG0800 12
COG1438 1
COG3952 6
COG0371 27
COG2144 6
COG0828 20
